44,184,240,139
34,184,232,135
41,184,222,136
52,188,214,133
72,194,201,129
95,197,191,128
113,199,181,127
134,204,173,124
157,209,163,121
178,211,154,120
196,213,146,117
213,214,137,115
232,215,130,112
251,217,126,110
268,218,121,108
285,218,119,106
299,220,117,105
312,223,114,101
323,224,112,99
329,225,108,96
335,225,106,95
339,225,106,94
348,226,102,92
350,226,104,90
352,228,106,87
353,228,106,87
353,227,109,88
353,227,107,87
352,227,109,87
351,228,109,85
345,228,110,84
340,227,111,84
338,226,111,83
336,225,114,82
335,224,114,82
333,222,118,83
334,222,117,81
336,223,118,79
337,223,119,78
339,224,120,77
342,224,120,76
345,223,121,77
348,224,123,75
353,224,122,75
354,224,123,74
357,223,123,74
357,223,124,73
358,225,125,73
360,226,125,73
360,227,125,72
